# Audit Log — Fase 2.1 — Config_B2
# Iniciado: 2026-05-27 21:39:05
# Columnas por entrada: Step | BLEU-4 | ROUGE-L | Pred | Real


────────────────────────────────────────────────────────────────────────────────────────────────────
Step=50 | Error en muestra 559: You have to specify pixel_values
Step=450 | Error en muestra 345: You have to specify pixel_values
Step=450 | Error en muestra 714: You have to specify pixel_values
Step=450 | Error en muestra 580: You have to specify pixel_values
Step=450 | Error en muestra 618: You have to specify pixel_values
Step=450 | Error en muestra 4: You have to specify pixel_values
Step=450 | Error en muestra 32: You have to specify pixel_values

────────────────────────────────────────────────────────────────────────────────────────────────────
Step=500 | Error en muestra 612: You have to specify pixel_values
Step=500 | Error en muestra 697: You have to specify pixel_values
Step=500 | Error en muestra 636: You have to specify pixel_values
Step=500 | Error en muestra 368: You have to specify pixel_values
Step=500 | Error en muestra 14: You have to specify pixel_values
Step=500 | Error en muestra 30: You have to specify pixel_values
Step=500 | Error en muestra 531: You have to specify pixel_values
Step=500 | Error en muestra 492: You have to specify pixel_values
Step=500 | Error en muestra 152: You have to specify pixel_values
Step=500 | Error en muestra 510: You have to specify pixel_values

────────────────────────────────────────────────────────────────────────────────────────────────────
Step=550 | Error en muestra 568: You have to specify pixel_values
Step=550 | Error en muestra 232: You have to specify pixel_values
Step=550 | Error en muestra 612: You have to specify pixel_values
Step=550 | Error en muestra 312: You have to specify pixel_values
Step=550 | Error en muestra 624: You have to specify pixel_values
Step=550 | Error en muestra 620: You have to specify pixel_values
Step=550 | Error en muestra 171: You have to specify pixel_values
Step=550 | Error en muestra 430: You have to specify pixel_values
Step=550 | Error en muestra 126: You have to specify pixel_values
Step=550 | Error en muestra 200: You have to specify pixel_values

────────────────────────────────────────────────────────────────────────────────────────────────────
Step=600 | Error en muestra 264: You have to specify pixel_values
Step=600 | Error en muestra 699: You have to specify pixel_values
Step=600 | Error en muestra 44: You have to specify pixel_values
Step=600 | Error en muestra 192: You have to specify pixel_values
Step=600 | Error en muestra 3: You have to specify pixel_values
Step=600 | Error en muestra 183: You have to specify pixel_values
Step=600 | Error en muestra 2: You have to specify pixel_values
Step=600 | Error en muestra 521: You have to specify pixel_values
Step=600 | Error en muestra 475: You have to specify pixel_values
Step=600 | Error en muestra 666: You have to specify pixel_values

────────────────────────────────────────────────────────────────────────────────────────────────────
Step=650 | Error en muestra 470: You have to specify pixel_values
Step=650 | Error en muestra 533: You have to specify pixel_values
Step=650 | Error en muestra 139: You have to specify pixel_values
Step=650 | Error en muestra 636: You have to specify pixel_values
Step=650 | Error en muestra 54: You have to specify pixel_values
Step=650 | Error en muestra 337: You have to specify pixel_values
Step=650 | Error en muestra 92: You have to specify pixel_values
Step=650 | Error en muestra 303: You have to specify pixel_values
Step=650 | Error en muestra 659: You have to specify pixel_values
Step=650 | Error en muestra 4: You have to specify pixel_values

────────────────────────────────────────────────────────────────────────────────────────────────────
Step=700 | Error en muestra 541: You have to specify pixel_values
Step=700 | Error en muestra 512: You have to specify pixel_values
Step=700 | Error en muestra 70: You have to specify pixel_values
Step=700 | Error en muestra 425: You have to specify pixel_values
Step=700 | Error en muestra 451: You have to specify pixel_values
Step=700 | Error en muestra 694: You have to specify pixel_values
Step=700 | Error en muestra 194: You have to specify pixel_values
Step=700 | Error en muestra 284: You have to specify pixel_values
Step=700 | Error en muestra 493: You have to specify pixel_values
Step=700 | Error en muestra 41: You have to specify pixel_values

────────────────────────────────────────────────────────────────────────────────────────────────────
Step=750 | Error en muestra 326: You have to specify pixel_values
Step=750 | Error en muestra 125: You have to specify pixel_values
Step=750 | Error en muestra 411: You have to specify pixel_values
Step=750 | Error en muestra 536: You have to specify pixel_values
Step=750 | Error en muestra 718: You have to specify pixel_values
Step=750 | Error en muestra 333: You have to specify pixel_values
Step=750 | Error en muestra 155: You have to specify pixel_values
Step=750 | Error en muestra 734: You have to specify pixel_values
Step=750 | Error en muestra 64: You have to specify pixel_values
Step=750 | Error en muestra 15: You have to specify pixel_values

────────────────────────────────────────────────────────────────────────────────────────────────────
Step=800 | Error en muestra 260: You have to specify pixel_values
Step=800 | Error en muestra 576: You have to specify pixel_values
Step=800 | Error en muestra 370: You have to specify pixel_values
Step=800 | Error en muestra 324: You have to specify pixel_values
Step=800 | Error en muestra 695: You have to specify pixel_values
Step=800 | Error en muestra 268: You have to specify pixel_values
Step=800 | Error en muestra 722: You have to specify pixel_values
Step=800 | Error en muestra 518: You have to specify pixel_values
Step=800 | Error en muestra 700: You have to specify pixel_values
Step=800 | Error en muestra 32: You have to specify pixel_values

────────────────────────────────────────────────────────────────────────────────────────────────────
Step=850 | Error en muestra 413: You have to specify pixel_values
Step=850 | Error en muestra 153: You have to specify pixel_values
Step=850 | Error en muestra 189: You have to specify pixel_values
Step=850 | Error en muestra 126: You have to specify pixel_values
Step=850 | Error en muestra 549: You have to specify pixel_values
Step=850 | Error en muestra 90: You have to specify pixel_values
Step=850 | Error en muestra 81: You have to specify pixel_values
Step=850 | Error en muestra 570: You have to specify pixel_values
Step=850 | Error en muestra 728: You have to specify pixel_values
Step=850 | Error en muestra 354: You have to specify pixel_values

────────────────────────────────────────────────────────────────────────────────────────────────────
Step=900 | Error en muestra 62: You have to specify pixel_values
Step=900 | Error en muestra 564: You have to specify pixel_values
Step=900 | Error en muestra 312: You have to specify pixel_values
Step=900 | Error en muestra 107: You have to specify pixel_values
Step=900 | Error en muestra 671: You have to specify pixel_values
Step=900 | Error en muestra 640: You have to specify pixel_values
Step=900 | Error en muestra 607: You have to specify pixel_values
Step=900 | Error en muestra 298: You have to specify pixel_values
Step=900 | Error en muestra 468: You have to specify pixel_values
Step=900 | Error en muestra 496: You have to specify pixel_values

────────────────────────────────────────────────────────────────────────────────────────────────────
Step=950 | Error en muestra 719: You have to specify pixel_values
Step=950 | Error en muestra 722: You have to specify pixel_values
Step=950 | Error en muestra 512: You have to specify pixel_values
Step=950 | Error en muestra 4: You have to specify pixel_values
Step=950 | Error en muestra 168: You have to specify pixel_values
Step=950 | Error en muestra 361: You have to specify pixel_values
Step=950 | Error en muestra 57: You have to specify pixel_values
Step=950 | Error en muestra 632: You have to specify pixel_values
Step=950 | Error en muestra 87: You have to specify pixel_values
Step=950 | Error en muestra 730: You have to specify pixel_values
